arrival_HYBAS_ID,n_trajectories,first_date,last_date,display_name
6060076610,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060076610 | Pfaf 615443 | 508 km²
6060076650,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060076650 | Pfaf 615442 | 8122 km²
6060078120,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060078120 | Pfaf 612044 | 14723 km²
6060078150,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060078150 | Pfaf 612045 | 13446 km²
6060079250,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060079250 | Pfaf 615460 | 7512 km²
6060079280,2190,2023-01-01,2023-12-31,HydroBASINS L6 6060079280 | Pfaf 615470 | 27442 km²
6060079310,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060079310 | Pfaf 615330 | 11058 km²
6060079390,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060079390 | Pfaf 615320 | 15091 km²
6060079860,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060079860 | Pfaf 615441 | 679 km²
6060079970,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060079970 | Pfaf 615450 | 401 km²
6060080920,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060080920 | Pfaf 615420 | 19464 km²
6060081020,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060081020 | Pfaf 615430 | 1330 km²
6060083060,2190,2023-01-01,2023-12-31,HydroBASINS L6 6060083060 | Pfaf 615480 | 14045 km²
6060084040,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060084040 | Pfaf 615370 | 1480 km²
6060084130,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060084130 | Pfaf 615360 | 17321 km²
6060084190,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060084190 | Pfaf 615350 | 24419 km²
6060084230,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060084230 | Pfaf 615341 | 4852 km²
6060084380,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060084380 | Pfaf 615380 | 13613 km²
6060084460,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060084460 | Pfaf 615390 | 48 km²
6060084750,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060084750 | Pfaf 615410 | 3180 km²
6060084790,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060084790 | Pfaf 615501 | 413 km²
6060086370,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060086370 | Pfaf 615503 | 5700 km²
6060089660,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060089660 | Pfaf 612080 | 22559 km²
6060089740,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060089740 | Pfaf 612091 | 5702 km²
6060089780,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060089780 | Pfaf 615342 | 2496 km²
6060089790,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060089790 | Pfaf 615343 | 4257 km²
6060089850,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060089850 | Pfaf 615504 | 6945 km²
